date,tsp_name,loc,tsq
"June 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"June 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,14215
"June 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4011
"June 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,23419
"June 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,22919
"June 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,12715
"June 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,26016
"June 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,28418
"June 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-67000
"June 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,65132
"June 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,65132
"June 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,23419
"June 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"June 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,2511
"June 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-20000
"June 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3011
"June 9, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-52100
"June 9, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,1611
"June 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10000
"June 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4758
"June 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4011
"June 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4011
"June 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3011
"June 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-52000
"June 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,5393
"June 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-20000
"June 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,15393
"June 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,35606
"June 1, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,0
"June 1, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,51006
"May 31, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-10839
"May 31, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,31908
"May 30, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-8294
"May 30, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11500
"May 29, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 29, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11500
"May 28, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-8294
"May 28, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,13706
"May 27, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-23294
"May 27, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,5264
"May 26, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-43294
"May 26, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,14100
"May 25, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-8294
"May 25, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,15600
"May 24, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 24, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,36508
"May 23, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 23, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,21202
"May 22, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 22, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,6400
"May 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-13294
"May 21, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,24400
"May 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 20, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,12900
"May 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 19, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,28502
"May 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 18, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,21038
"May 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 17, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,16671
"May 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 16, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,11569
"May 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 15, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,29465
"May 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-18294
"May 14, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,15200
"May 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-24669
"May 13, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,12000
"May 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-28294
"May 12, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,4294
"May 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-20169
"May 11, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,10008
"May 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 10, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,10008
"May 9, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-13294
"May 9, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,10008
"May 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 8, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,6102
"May 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 7, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,6602
"May 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-13294
"May 6, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,27273
"May 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-43294
"May 5, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,3000
"May 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 4, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,50977
"May 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 3, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,57287
"May 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-3294
"May 2, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542524,49606
"May 1, 2020 10:05 PM CT","Caledonia Energy Partners, L.L.C.",542519,-233
